id,name,minPrice,maxPrice,typologies,minSaleableArea,maxSaleableArea,micromarket,possessionDate,propscore,popularity,projectStatus,city,slug,image,type,developerId,developerName,landArea,micromarketId,alt,latitude,longitude,metroProximity,developerGrade,petPark,squash,pharmacy,basketball,heatedPool,unitDensity,micromarketPriceAverage
387,Assetz Melodies of Life,9600000,9600000,['Square'],600,600,Choodasandra,2026-08-30T13:00:00.000Z,4.38,A,available,Bengaluru,assetz-melodies-of-life-choodasandra,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/387-assetz-melodies-of-life-choodasandra/views-2.webp,Plot,15,Assetz Property,39.0,114,Assetz Melodies of Life Choodasandra Bengaluru Views,12.884512901306152,77.68721771240234,5.11,G,1,0,0,0,0,13,7148
413,Sattva Lumina,7133207,7133207,['1BHK'],684,684,Doddaballapur Road,2029-10-31T13:00:00.000Z,3.79,A,available,Bengaluru,sattva-lumina-doddabellapur-road,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/413-sattva-lumina-doddabellapur-road/views-2.webp,Apartment,14,Sattva Group,12.83,108,Sattva Lumina Doddaballapur Road Bengaluru Views,13.172552108764648,77.55116271972656,11.68,A,1,0,0,0,0,43,9607
537,Abhee Aaria,8249000,8249000,['1BHK'],730,730,Gunjur,2031-05-30T18:30:00.000Z,3.71,A,available,Bengaluru,abhee-aaria-gunjur,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/537-abhee-aaria-gunjur/views-3DRender-0.webp,Apartment,110,Abhee Ventures Private Limited,12.19,58,Abhee Aaria Gunjur Bengaluru Views,12.914917,77.7365,4.21,C,1,1,0,0,1,83,11971
494,Birla Evara,9320282,9320282,['1BHK'],714,714,Kodathi,2031-12-24T18:30:00.000Z,3.57,A,available,Bengaluru,birla-evara-kodathi,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/494-birla-evara-kodathi/views-amenities-0.webp,Apartment,7,Birla Estate,25.71,67,Birla Evara Kodathi Bengaluru Views,12.885231,77.703123,4.19,G,1,1,0,1,0,62,11756
526,The Earth by SRK,9750000,9750000,['Square'],1500,1500,Nandi Hills,2026-05-30T18:30:00.000Z,3.5,A,soldOut,Bengaluru,the-earth-by-srk-nandi-hills,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/526-the-earth-by-srk-nandi-hills/views-amenities-0.webp,Plot,139,SRK Infra,35.0,21,The Earth by SRK Nandi Hills Bengaluru Views,13.34011,77.65153,24.23,B,0,0,0,1,0,13,6807
553,Prestige Southern Star,9149353,9149353,['1BHK'],695,695,Begur,2029-09-29T18:30:00.000Z,3.5,A,available,Bengaluru,prestige-southern-star-begur,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/553-prestige-southern-star-begur/views-aerialView-0.webp,Apartment,2,Prestige Constructions,30.0,82,Prestige Southern Star Begur Bengaluru Views,12.8741008,77.6231296,3.03,G,1,1,0,1,1,71,12266
478,Sattva Songbird,5709600,9223200,"['1BHK', 'Studio']",468,756,Budigere Cross,2029-05-05T18:30:00.000Z,3.43,A,available,Bengaluru,sattva-songbird-budigere-cross,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/478-sattva-songbird-budigere-cross/views-3DRender-0.webp,Apartment,14,Sattva Group,12.0,62,Sattva Songbird Budigere Cross Bengaluru Views,13.049148224106592,77.74833982080948,11.06,A,1,0,0,0,0,110,10516
255,DNR Parklink,7405816,7405816,['1BHK'],700,700,Hennur,2027-12-30T13:00:00.000Z,3.21,A,available,Bengaluru,dnr-parklink-hennur,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/255-dnr-parklink-hennur/views-2.webp,Apartment,32,DNR Group,8.9,16,DNR Parklink Hennur Bengaluru Views,13.080196380615234,77.6542739868164,7.28,B,1,1,0,1,0,88,10610
400,Casagrand Vivacity,9186121,9562951,['2BHK'],1292,1345,Electronic City,2029-04-03T13:00:00.000Z,3.21,A,available,Bengaluru,casagrand-vivacity-electronic-city,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/400-casagrand-vivacity-electronic-city/views-2.webp,Apartment,20,Casagrand Builder Private Limited,10.52,80,Casagrand Vivacity Electronic City Bengaluru Views,12.85161018371582,77.69327545166016,4.18,B,1,1,1,0,0,68,9654
499,Livingtree By Kalyani Developers,5081553,9250357,"['1BHK', '2BHK']",579,1054,Bagalur,2029-09-14T18:30:00.000Z,3.14,A,available,Bengaluru,livingtree-by-kalyani-developers-bagalur,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/499-livingtree-by-kalyani-developers-bagalur/views-3DRender-6.webp,Apartment,202,Kalyani Developers,25.0,18,Livingtree By Kalyani Developers Bagalur Bengaluru Views,13.14207796745474,77.67745129586544,7.41,B,1,0,0,1,1,109,9166
558,Assetz The Secret Lake,7200001,9000001,['Square'],1200,1500,IVC Road,2030-03-30T18:30:00.000Z,3.13,A,available,Bengaluru,assetz-the-secret-lake-ivc-road,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/558-assetz-the-secret-lake-ivc-road/views-3DRender-0.webp,Plot,15,Assetz Property,44.0,22,Assetz The Secret Lake IVC Road Bengaluru Views,13.2259,77.575,14.47,G,1,0,0,1,0,16,6911
411,SNN Felicity,8960000,9152000,['1.5BHK'],700,715,Jakkur,2028-12-30T13:00:00.000Z,3.0,A,available,Bengaluru,snn-felicity-jakkur,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/411-snn-felicity-jakkur/views-2.webp,Apartment,175,SNN Estates,6.5,14,SNN Felicity Jakkur Bengaluru Views,13.066811561584473,77.6230239868164,4.26,B,1,0,0,1,0,89,11436
160,Mana Capitol,9274103,9314425,['1BHK'],690,693,Sarjapur Road,2027-03-29T13:00:00.000Z,2.93,A,soldOut,Bengaluru,mana-capitol-sarjapur-road,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/160-mana-capitol-sarjapur-road/views-2.webp,Apartment,107,Mana Projects,7.05,68,Mana Capitol Sarjapur Road Bengaluru Views,12.90334701538086,77.70399475097656,0.33,B,0,1,0,0,0,82,11384
523,Prestige Suncrest,7627021,7973076,['1BHK'],661,691,Electronic City,2028-09-29T18:30:00.000Z,2.93,A,soldOut,Bengaluru,prestige-suncrest-electronic-city,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/523-prestige-suncrest-electronic-city/views-3DRender-0.webp,Apartment,2,Prestige Constructions,5.87,80,Prestige Suncrest Electronic City Bengaluru Views,12.817281,77.6639568,3.12,G,1,0,0,0,0,74,9654
138,Arvind Greatlands,9000000,9000000,['Square'],1200,1200,Devanahalli,2026-12-30T13:00:00.000Z,2.88,A,available,Bengaluru,arvind-greatlands-devanahalli,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/138-arvind-greatlands-devanahalli/views-2.webp,Plot,46,Arvind Smartspaces,24.72,17,Arvind Greatlands Devanahalli Bengaluru Views,13.256491661071776,77.61688995361328,13.66,A,0,0,0,0,0,16,6822
284,Nikoo Homes V,5760000,9768000,"['1BHK', 'Studio']",480,814,Thanisandra Road,2029-08-13T13:00:00.000Z,2.71,A,available,Bengaluru,nikoo-homes-v-thanisandra-road,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/284-nikoo-homes-v-thanisandra-road/views-2.webp,Apartment,23,Bhartiya City Developers,4.0,13,Nikoo Homes V Thanisandra Road Bengaluru Views,13.079333305358888,77.64209747314453,6.3,B,1,1,0,1,0,142,11033
539,Meda East Winds,6721683,6721683,['1BHK'],647,647,Panathur,2028-12-29T18:30:00.000Z,2.64,A,available,Bengaluru,meda-east-winds-panathur,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/539-meda-east-winds-panathur/views-amenities-6.webp,Apartment,73,Meda Group,8.36,39,Meda East Winds Panathur Bengaluru Views,12.9362425,77.7110534,3.57,D,1,0,0,1,0,65,11971
189,Address Makers - Southend,9472500,9472500,['Square'],1500,1500,Devanahalli,2024-09-29T13:00:00.000Z,2.63,A,available,Bengaluru,address-makers-southend-devanahalli,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/189-address-makers-southend-devanahalli/views-2.webp,Plot,131,Address Makers,9.14,17,Address Makers - Southend Devanahalli Bengaluru Views,13.2076997756958,77.65962219238281,5.48,B,0,1,0,0,0,11,6822
477,Brigade Citrine,8314844,8314844,['1BHK'],689,689,Old Madras Road,2029-06-28T18:30:00.000Z,2.5,A,available,Bengaluru,brigade-citrine-old-madras-road,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/477-brigade-citrine-hoskote/views-amenities-0.webp,Apartment,10,Brigade Group,4.56,61,Brigade Citrine Old Madras Road Bengaluru Views,13.0529768,77.7601313,9.07,G,1,0,0,0,0,92,10268
396,Shriram Solitaire,7759999,9603109,"['2.5BHK', '2BHK']",1045,1305,Yelahanka,2025-05-14T13:00:00.000Z,2.36,A,soldOut,Bengaluru,shriram-solitaire-yelahanka,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/396-shriram-solitaire-yelahanka/views-2.webp,Apartment,9,Shriram Properties,3.0,11,Shriram Solitaire Yelahanka Bengaluru Views,13.104500770568848,77.55621337890625,6.51,B,0,0,0,0,0,88,10894
265,Rohan Ekanta,9469223,9469223,['1.5BHK'],734,734,Gunjur,2028-12-30T13:00:00.000Z,2.21,A,available,Bengaluru,rohan-ekanta-gunjur,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/265-rohan-ekanta-gunjur/views-2.webp,Apartment,24,Rohan Developers,6.59,58,Rohan Ekanta Gunjur Bengaluru Views,12.92721176147461,77.72486114501953,6.04,B,1,1,0,0,0,107,11971
576,MJR North Park,8807603,9022423,['2BHK'],1066,1092,Bagalur,2028-12-30T18:30:00.000Z,2.21,A,available,Bengaluru,mjr-north-park-bagalur,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/576-mjr-north-park-bagalur/views-entrance-0.webp,Apartment,160,MJR Builders,2.5,18,MJR North Park Bagalur Bengaluru Views,13.146281,77.678788,8.95,D,0,0,0,0,0,142,9166
629,Green Groves,8466284,8466284,['Square'],1200,1200,Nelamangala,2026-09-16T18:30:00.000Z,4.5,Z,available,Bengaluru,green-groves-nelamangala,https://d1zk2x7mtoyb2b.cloudfront.net/ProjectImages/629-green-groves-nelamangala/views-amenities-0.png,Plot,14,Sattva Group,45.0,118,Green Groves Nelamangala Bengaluru Views,13.116098903895464,77.38037313147338,16.25,A,0,0,0,1,0,16,4943
